name,mentions,name_pos,cap_ratio,first_pct
Жон,4947,True,1.0,0.0
Арк,1626,True,1.0,0.1
Гримм,1044,True,1.0,0.0
Хейль,836,False,1.0,0.1
Вейл,822,False,1.0,0.1
Нора,753,False,0.99,0.6
Подобие,628,False,0.96,0.3
Кардин,548,True,1.0,0.4
Мистраль,543,False,1.0,0.3
Лай,493,False,1.0,0.6
Бикона,451,False,1.0,0.5
Озпин,416,False,1.0,0.5
Арка,393,False,0.96,0.0
Винчестер,370,True,1.0,0.4
Вайс,365,True,1.0,0.6
Шни,327,False,1.0,0.5
Академия,326,False,0.96,0.3
Сапфир,300,False,0.99,0.1
Пыль,292,False,0.86,0.6
Великий,283,False,0.77,0.1
Руби,283,True,1.0,0.6
Сафрон,268,True,1.0,0.1
Ансель,266,False,1.0,0.3
Война,238,False,0.62,0.1
Ремнант,238,False,1.0,0.0
Атлас,232,False,1.0,0.5
Ирис,222,False,1.0,0.6
Гудвич,202,False,1.0,0.5
Кроцеа,185,True,1.0,1.7
Морс,185,False,1.0,1.7
Янг,161,True,1.0,0.4
Вакуо,158,False,1.0,0.1
Ноэда,154,True,1.0,0.3
Арквиль,153,True,1.0,0.1
Райхан,150,True,1.0,0.4
Прорыв,150,False,0.92,0.1
Порт,139,False,0.95,0.5
Тибо,133,False,1.0,0.4
Роуз,133,False,1.0,0.6
Уитлить,129,False,1.0,0.5
Беовульф,127,True,1.0,1.5
Лаванда,127,False,0.98,0.1
Никос,127,False,1.0,0.6
Совет,122,False,0.76,0.4
Рокс,122,False,1.0,0.6
Клык,120,False,0.85,0.4
Луперк,119,False,1.0,0.7
Палач,118,False,0.95,1.4
Пирра,112,False,1.0,0.6
Адам,111,True,1.0,0.4
Терри,111,True,1.0,0.1
Глинда,110,True,1.0,0.5
Валькирия,110,False,1.0,0.6
Рен,107,False,1.0,0.6
Урицук,105,False,1.0,0.4
Мантло,104,False,1.0,0.1
Жанна,104,True,1.0,0.1
Дева,101,False,0.95,1.1
Жасмина,99,True,1.0,0.3
Меркьюри,98,True,1.0,0.4
Сяо,97,False,1.0,0.6
Лонг,97,False,1.0,0.6
Азэй,96,False,1.0,0.1
Питер,94,True,1.0,0.5
Баджер,91,True,1.0,0.7
Что-то,89,False,1.0,3.2
Юлиус,89,False,1.0,0.1
Мицуруга,88,False,1.0,0.4
Артур,88,True,1.0,0.1
Виолетта,87,True,1.0,0.1
Ален,86,True,1.0,0.7
Жонни,86,True,1.0,16.3
Волшебник,84,False,0.83,0.2
Николас,84,True,1.0,0.1
Скарлатина,83,False,1.0,0.1
Анна,83,True,1.0,0.1
Кто-то,83,False,1.0,2.8
Однако,81,False,0.7,0.8
Бламор,80,True,1.0,41.4
Жоэль,75,False,1.0,0.9
Сандор,74,True,1.0,0.5
Миядзав,73,False,1.0,0.4
Разве,73,False,0.63,1.7
Священный,73,False,0.65,0.9
Аргус,73,False,1.0,0.4
Северный,71,False,0.65,0.8
Гуй,69,False,1.0,0.1
Ахерон,69,True,1.0,0.7
Блэк,69,False,1.0,0.4
Санус,68,False,1.0,0.1
Ренни,68,False,1.0,17.3
Рой,67,True,0.88,0.3
Фея,67,False,1.0,0.1
Грей,66,True,1.0,0.4
Неужели,65,False,0.73,3.9
Адольф,65,True,1.0,0.5
Вельвет,63,False,1.0,0.4
Николь,63,True,1.0,0.1
Котт,63,True,0.98,0.1
Ведьма,63,False,0.98,1.2
Поход,62,False,0.75,0.9
Изумрудный,61,False,0.87,0.8
Логос,61,False,1.0,0.5
Корона,61,False,0.73,0.3
Витать,60,False,0.81,0.0
Эмбер,60,False,1.0,16.9
Невермор,59,False,0.98,3.4
Добряк,59,False,0.97,0.1
Гленна,59,True,1.0,0.1
Аям,58,False,1.0,0.3
Фестиваль,57,False,0.81,0.1
Изам,57,False,1.0,0.4
Русс,56,False,1.0,0.7
Эрик,56,True,1.0,0.4
Валленштейн,56,True,1.0,0.7
Уточнить,56,False,0.71,11.2
Бранвено,55,False,1.0,0.4
Лок,55,False,1.0,0.4
Голд,54,False,1.0,0.7
Мясник,54,False,0.96,0.1
Король-воин,54,False,1.0,1.2
Революция,51,False,0.98,1.3
Крикнуть,51,False,0.69,2.2
Жоном,51,False,1.0,2.7
Кроу,51,True,1.0,0.4
Астр,50,True,0.98,0.4
Иксор,49,False,1.0,0.5
Сильван,48,False,1.0,0.6
Филипп,48,True,1.0,0.5
Поинтересоваться,48,False,0.67,6.0
Извинить,47,False,0.71,3.6
Святой,47,False,0.63,0.8
Лупёрка,47,False,1.0,21.1
Нода,46,False,1.0,0.3
Легион,46,False,0.73,1.4
Вульф,45,True,1.0,0.4
Посвящение,45,False,0.98,0.5
Майра,45,False,1.0,0.1
Пижма,45,False,1.0,0.7
Патч,44,False,1.0,0.1
Ага,44,False,0.77,2.5
Гленко,44,True,1.0,41.2
Кайоша,44,False,1.0,0.3
Милость,44,False,0.81,42.1
Юстас,43,True,1.0,0.4
Церковь,43,False,0.61,0.8
Бранвена,42,False,1.0,0.4
Тор,42,False,1.0,0.7
Копа,42,False,1.0,0.7
Хейвена,41,False,1.0,1.3
Росит,41,False,1.0,0.6
Дюрана,41,False,1.0,0.3
Лао,41,False,1.0,0.4
Менаджери,40,False,1.0,4.8
Аис,40,True,1.0,0.7
Валуа,39,True,1.0,0.4
Ханако,39,True,1.0,0.3
Линь,39,False,1.0,0.4
Громобой,39,False,1.0,21.1
Озм,38,False,1.0,26.4
Озлюминать,38,False,1.0,1.2
Бранвен,37,True,1.0,10.4
Паук,37,False,0.77,0.6
Где-то,37,False,1.0,3.9
Аргилак,37,False,1.0,1.3
Паладин,37,False,0.64,51.7
Маршалл,36,True,1.0,24.6
Гильдия,36,False,0.95,13.3
Примечание,35,False,0.83,0.6
Империя,35,False,0.7,0.7
Нептун,35,True,1.0,0.3
Сильвер,34,True,1.0,0.5
Камбер,34,False,1.0,0.3
Айрон,34,True,1.0,0.4
Ами,34,True,1.0,0.7
Госпожа,33,False,0.87,0.6
Кожеед,33,False,1.0,0.9
Тюрби,32,True,1.0,34.9
Розалия,32,True,1.0,0.7
Блейк,32,False,1.0,0.4
Закричать,32,False,0.62,4.8
Амьен,31,False,1.0,0.3
Верховный,31,False,0.86,0.2
Старуха,31,False,0.63,1.4
Аран,31,True,1.0,0.6
Рудея,31,True,0.94,0.7
Андриаполь,31,False,1.0,5.6
Улыбчивый,31,False,0.78,0.1
Жак,31,True,1.0,0.5
Шейд,31,False,1.0,0.4
Ансельма,30,True,1.0,0.2
Тигриный,30,False,0.67,1.0
Рейвено,30,False,1.0,0.4
Рокса,30,False,1.0,18.9
Бланша,30,True,1.0,0.7
Урс,29,True,1.0,9.2
Арквильский,29,False,0.66,25.9
Робен,29,True,1.0,0.4
Семя,29,False,0.91,1.4
Салем,29,False,1.0,0.2
Милорд,28,False,0.82,1.4
Мортис,28,False,1.0,0.6
Некромант,28,False,0.97,1.3
Магнолия,28,False,1.0,0.5
Ангел,28,False,0.85,13.6
Солитас,28,True,1.0,0.7
Освободитель,27,False,1.0,0.1
Эллисон,27,True,1.0,0.7
Горький,27,True,0.44,1.4
Пьяница,27,False,1.0,0.2
Алтана,27,True,1.0,0.4
Блеквелла,26,True,1.0,0.7
Чума,26,False,0.84,0.2
Злобоглазый,26,False,1.0,1.4
Всезнайка,26,False,1.0,20.7
Клод,25,True,1.0,0.2
Аяна,25,True,1.0,0.3
Орион,25,True,1.0,0.7
Керри,25,True,1.0,0.6
Брум,25,False,1.0,0.5
Жаль,25,False,0.61,19.5
Хич,25,False,1.0,0.6
Погибель,25,False,0.83,1.0
Титан,25,False,0.81,0.3
Хейвено,24,False,1.0,0.3
Дворец,24,False,0.63,21.6
Понятно,24,False,0.63,16.7
Ублёкнуть,24,False,1.0,0.6
Аой,24,False,1.0,0.4
Вилли,24,True,1.0,0.7
Воскликнуть,24,False,0.69,4.1
Ахилл,23,True,1.0,41.4
Промышленный,23,False,0.74,0.4
Возмутиться,23,False,0.7,18.5
Омар,23,True,1.0,0.5
Манхилёд,23,False,1.0,17.4
Фулкс,23,False,1.0,0.4
Вента-си,23,False,1.0,1.2
Ублек,23,False,1.0,19.4
Анить,23,False,1.0,0.8
Корало,23,False,1.0,0.7
Белладонна,23,False,1.0,0.4
Лоран,23,True,1.0,0.3
Заря,22,False,0.73,53.7
Айронвуд,22,False,1.0,0.5
Повар,22,False,0.79,53.6
Иссоп,22,False,1.0,0.5
Сановник,22,False,0.96,0.5
Лицожевать,22,False,1.0,3.2
Степь,22,False,0.85,0.4
Воронья,22,False,0.88,0.4
Фенг,21,False,1.0,0.3
Божоля,21,True,1.0,0.5
Дитя,21,False,0.6,1.5
Люмен,21,False,1.0,98.7
Таурусый,20,False,1.0,0.4
