name,mentions,name_pos,cap_ratio,first_pct,status,comment_mentions
Жон,4947,True,1.0,0.0,mentioned_not_guessed,497
Арк,1626,True,1.0,0.1,mentioned_not_guessed,178
Гримм,1044,True,1.0,0.0,mentioned_not_guessed,66
Хейль,836,False,1.0,0.1,eliminated,75
Вейл,822,False,1.0,0.1,mentioned_not_guessed,72
Нора,753,False,0.99,0.6,eliminated,66
Подобие,628,False,0.96,0.3,never_mentioned,0
Кардин,548,True,1.0,0.4,mentioned_not_guessed,68
Мистраль,543,False,1.0,0.3,mentioned_not_guessed,41
Лай,493,False,1.0,0.6,mentioned_not_guessed,22
Бикона,451,False,1.0,0.5,mentioned_not_guessed,50
Озпин,416,False,1.0,0.5,eliminated,73
Арка,393,False,0.96,0.0,mentioned_not_guessed,65
Винчестер,370,True,1.0,0.4,mentioned_not_guessed,29
Вайс,365,True,1.0,0.6,eliminated,24
Шни,327,False,1.0,0.5,mentioned_not_guessed,21
Академия,326,False,0.96,0.3,never_mentioned,0
Сапфир,300,False,0.99,0.1,eliminated,12
Пыль,292,False,0.86,0.6,never_mentioned,0
Великий,283,False,0.77,0.1,mentioned_not_guessed,27
Руби,283,True,1.0,0.6,eliminated,98
Сафрон,268,True,1.0,0.1,eliminated,20
Ансель,266,False,1.0,0.3,mentioned_not_guessed,6
Война,238,False,0.62,0.1,never_mentioned,0
Ремнант,238,False,1.0,0.0,mentioned_not_guessed,104
Атлас,232,False,1.0,0.5,mentioned_not_guessed,38
Ирис,222,False,1.0,0.6,eliminated,19
Гудвич,202,False,1.0,0.5,mentioned_not_guessed,4
Кроцеа,185,True,1.0,1.7,eliminated,10
Морс,185,False,1.0,1.7,eliminated,10
Янг,161,True,1.0,0.4,mentioned_not_guessed,22
Вакуо,158,False,1.0,0.1,mentioned_not_guessed,26
Ноэда,154,True,1.0,0.3,mentioned_not_guessed,5
Арквиль,153,True,1.0,0.1,mentioned_not_guessed,18
Райхан,150,True,1.0,0.4,eliminated,32
Прорыв,150,False,0.92,0.1,never_mentioned,0
Порт,139,False,0.95,0.5,mentioned_not_guessed,21
Тибо,133,False,1.0,0.4,mentioned_not_guessed,1
Роуз,133,False,1.0,0.6,mentioned_not_guessed,11
Уитлить,129,False,1.0,0.5,mentioned_not_guessed,7
Беовульф,127,True,1.0,1.5,mentioned_not_guessed,7
Лаванда,127,False,0.98,0.1,live_guess,2
Никос,127,False,1.0,0.6,mentioned_not_guessed,5
Совет,122,False,0.76,0.4,mentioned_not_guessed,9
Рокс,122,False,1.0,0.6,eliminated,9
Клык,120,False,0.85,0.4,mentioned_not_guessed,3
Луперк,119,False,1.0,0.7,mentioned_not_guessed,5
Палач,118,False,0.95,1.4,mentioned_not_guessed,53
Пирра,112,False,1.0,0.6,mentioned_not_guessed,41
Терри,111,True,1.0,0.1,eliminated,2
Адам,111,True,1.0,0.4,eliminated,12
Глинда,110,True,1.0,0.5,mentioned_not_guessed,7
Валькирия,110,False,1.0,0.6,mentioned_not_guessed,3
Рен,107,False,1.0,0.6,mentioned_not_guessed,33
Урицук,105,False,1.0,0.4,never_mentioned,0
Мантло,104,False,1.0,0.1,mentioned_not_guessed,12
Жанна,104,True,1.0,0.1,eliminated,17
Дева,101,False,0.95,1.1,mentioned_not_guessed,30
Жасмина,99,True,1.0,0.3,mentioned_not_guessed,6
Меркьюри,98,True,1.0,0.4,mentioned_not_guessed,6
Сяо,97,False,1.0,0.6,mentioned_not_guessed,3
Лонг,97,False,1.0,0.6,mentioned_not_guessed,3
Азэй,96,False,1.0,0.1,mentioned_not_guessed,5
Питер,94,True,1.0,0.5,mentioned_not_guessed,5
Баджер,91,True,1.0,0.7,never_mentioned,0
Юлиус,89,False,1.0,0.1,mentioned_not_guessed,31
Что-то,89,False,1.0,3.2,mentioned_not_guessed,5
Артур,88,True,1.0,0.1,mentioned_not_guessed,8
Мицуруга,88,False,1.0,0.4,never_mentioned,0
Виолетта,87,True,1.0,0.1,mentioned_not_guessed,3
Ален,86,True,1.0,0.7,mentioned_not_guessed,5
Жонни,86,True,1.0,16.3,mentioned_not_guessed,1
Волшебник,84,False,0.83,0.2,mentioned_not_guessed,19
Николас,84,True,1.0,0.1,mentioned_not_guessed,5
Кто-то,83,False,1.0,2.8,mentioned_not_guessed,15
Скарлатина,83,False,1.0,0.1,mentioned_not_guessed,5
Анна,83,True,1.0,0.1,never_mentioned,0
Однако,81,False,0.7,0.8,mentioned_not_guessed,12
Бламор,80,True,1.0,41.4,mentioned_not_guessed,2
Жоэль,75,False,1.0,0.9,mentioned_not_guessed,2
Сандор,74,True,1.0,0.5,never_mentioned,0
Священный,73,False,0.65,0.9,never_mentioned,0
Аргус,73,False,1.0,0.4,mentioned_not_guessed,3
Миядзав,73,False,1.0,0.4,never_mentioned,0
Разве,73,False,0.63,1.7,mentioned_not_guessed,5
Северный,71,False,0.65,0.8,never_mentioned,0
Гуй,69,False,1.0,0.1,mentioned_not_guessed,1
Ахерон,69,True,1.0,0.7,mentioned_not_guessed,9
Блэк,69,False,1.0,0.4,mentioned_not_guessed,2
Санус,68,False,1.0,0.1,mentioned_not_guessed,1
Ренни,68,False,1.0,17.3,mentioned_not_guessed,5
Рой,67,True,0.88,0.3,mentioned_not_guessed,3
Фея,67,False,1.0,0.1,mentioned_not_guessed,2
Грей,66,True,1.0,0.4,eliminated,5
Неужели,65,False,0.73,3.9,mentioned_not_guessed,4
Адольф,65,True,1.0,0.5,mentioned_not_guessed,2
Ведьма,63,False,0.98,1.2,mentioned_not_guessed,20
Котт,63,True,0.98,0.1,mentioned_not_guessed,2
Николь,63,True,1.0,0.1,never_mentioned,0
Вельвет,63,False,1.0,0.4,live_guess,15
Поход,62,False,0.75,0.9,never_mentioned,0
Изумрудный,61,False,0.87,0.8,mentioned_not_guessed,2
Логос,61,False,1.0,0.5,mentioned_not_guessed,6
Корона,61,False,0.73,0.3,never_mentioned,0
Витать,60,False,0.81,0.0,mentioned_not_guessed,2
Эмбер,60,False,1.0,16.9,eliminated,3
Невермор,59,False,0.98,3.4,never_mentioned,0
Добряк,59,False,0.97,0.1,eliminated,3
Гленна,59,True,1.0,0.1,mentioned_not_guessed,3
Аям,58,False,1.0,0.3,mentioned_not_guessed,1
Фестиваль,57,False,0.81,0.1,never_mentioned,0
Изам,57,False,1.0,0.4,never_mentioned,0
Уточнить,56,False,0.71,11.2,never_mentioned,0
Валленштейн,56,True,1.0,0.7,never_mentioned,0
Эрик,56,True,1.0,0.4,mentioned_not_guessed,6
Русс,56,False,1.0,0.7,mentioned_not_guessed,5
Бранвено,55,False,1.0,0.4,mentioned_not_guessed,33
Лок,55,False,1.0,0.4,never_mentioned,0
Голд,54,False,1.0,0.7,mentioned_not_guessed,3
Мясник,54,False,0.96,0.1,mentioned_not_guessed,2
Король-воин,54,False,1.0,1.2,mentioned_not_guessed,8
Жоном,51,False,1.0,2.7,mentioned_not_guessed,13
Кроу,51,True,1.0,0.4,eliminated,17
Крикнуть,51,False,0.69,2.2,never_mentioned,0
Революция,51,False,0.98,1.3,never_mentioned,0
Астр,50,True,0.98,0.4,never_mentioned,0
Иксор,49,False,1.0,0.5,eliminated,6
Сильван,48,False,1.0,0.6,never_mentioned,0
Филипп,48,True,1.0,0.5,mentioned_not_guessed,1
Поинтересоваться,48,False,0.67,6.0,never_mentioned,0
Лупёрка,47,False,1.0,21.1,mentioned_not_guessed,2
Извинить,47,False,0.71,3.6,mentioned_not_guessed,3
Святой,47,False,0.63,0.8,never_mentioned,0
Легион,46,False,0.73,1.4,mentioned_not_guessed,13
Нода,46,False,1.0,0.3,never_mentioned,0
Вульф,45,True,1.0,0.4,never_mentioned,0
Майра,45,False,1.0,0.1,never_mentioned,0
Пижма,45,False,1.0,0.7,mentioned_not_guessed,1
Посвящение,45,False,0.98,0.5,never_mentioned,0
Патч,44,False,1.0,0.1,mentioned_not_guessed,3
Ага,44,False,0.77,2.5,mentioned_not_guessed,2
Гленко,44,True,1.0,41.2,never_mentioned,0
Кайоша,44,False,1.0,0.3,never_mentioned,0
Милость,44,False,0.81,42.1,mentioned_not_guessed,5
Юстас,43,True,1.0,0.4,mentioned_not_guessed,2
Церковь,43,False,0.61,0.8,never_mentioned,0
Бранвена,42,False,1.0,0.4,mentioned_not_guessed,10
Тор,42,False,1.0,0.7,mentioned_not_guessed,2
Копа,42,False,1.0,0.7,mentioned_not_guessed,6
Дюрана,41,False,1.0,0.3,mentioned_not_guessed,4
Лао,41,False,1.0,0.4,mentioned_not_guessed,2
Хейвена,41,False,1.0,1.3,never_mentioned,0
Росит,41,False,1.0,0.6,mentioned_not_guessed,2
Менаджери,40,False,1.0,4.8,mentioned_not_guessed,7
Аис,40,True,1.0,0.7,never_mentioned,0
Валуа,39,True,1.0,0.4,live_guess,13
Ханако,39,True,1.0,0.3,never_mentioned,0
Линь,39,False,1.0,0.4,never_mentioned,0
Громобой,39,False,1.0,21.1,never_mentioned,0
Озм,38,False,1.0,26.4,eliminated,48
Озлюминать,38,False,1.0,1.2,mentioned_not_guessed,17
Где-то,37,False,1.0,3.9,mentioned_not_guessed,3
