name,mentions,commenters,author_mentions,name_pos,cap_ratio,first_seen,last_seen,samples
Жон,497,42,6,True,0.99,2026-02-27,2026-06-11,"[41600852] Слава Братьям! Мы наконец узнали как Жон добыл поддельные документы в каноне! (Если что, речь идет про оригинальный сериал RWBY, и данная картинка не имеет ниче | [41578196] Последняя попытка угадать, от чьего лица будет POV перед продой. Это будет POV назад в прошлое от лица отца Жона, и нам раскроют все детали его смерти, раз уж м | [41570473] Осваиваем AI-slop (часть 2) Грозный Жон Жон - грустный Штирлиц Привет от дядюшки Бэда"
Арк,178,22,0,True,0.99,2026-02-27,2026-06-11,"[41580755] картинки (показать) Пляжный эпизод приближается! Как Морген Арк видел Салем (я с ним полностью солидарен в этом вопросе): . | [41567912] спойлер (показать) Шизотеории: в девятнадцать лет Арк станет Сломанный Мечом, ведь по словам психа он сломанный, но пока еще не меч, еще не победоносный. Пов но | [41290461] Товарищи, время шизотеорий. Перечитывал СМ, в главе про склеп Арков, кукушка отмерила Озпину 2 года, то етсь до конца 4 курса Жона. Исходя из этого, что за пизд"
Атлет,132,27,1,False,0.95,2026-02-27,2026-06-10,"[41570106] Я тут перечитываю, и заметил один момент: Сапфир раньше много дралась, в том числе ломала руки одноклассникам, что является вредом средней тяжести. При этом не  | [41523175] Товарищ Атлет, новая броня Жона будет такой? https://youtube.com/shorts/KbqedB8TW1g?si=rYX2_heRcVSP8qyc | [41522634] О, уже восемь с половиной тысяч комментариев, товарищи! Поздравляю товарища Атлета и нас всех!"
Ремнант,104,24,3,False,0.93,2026-02-27,2026-06-10,"[41567793] спойлер (показать) Если черная кровь и прям альтернатива земной нефти, Легион (Эхо Горького Сна) уже должен быть сверхдержавой, ибо она дешева и применима во мн | [41405296] спойлер (показать) Леон и Луперк — братья навек! По духу. *Задумчиво тянет* Или нет... Да, определённо нет. *Достаёт дробовик с антиаурной дробью* –Прости, Ален | [41291365] Переворот в Атласе и приход к власти фанатиков церкви Братьев, которыми из-за кулис управляют культисты. Ненависть к фавнам выходит на новый уровень и происходя"
Руби,98,15,0,True,0.98,2026-02-27,2026-06-10,[41529779] Милфа Руби и тэ дэ | [41387829] А что такого в пейринге Синдер Фолл/Руби Роуз? *звуки недоумевающего Леона* | [41385318] Осуждаем! Синдер может познакомиться с Руби одним способом — когда коса сносит ей голову!
Леон,81,14,1,True,1.0,2026-02-27,2026-06-10,"[41405296] спойлер (показать) Леон и Луперк — братья навек! По духу. *Задумчиво тянет* Или нет... Да, определённо нет. *Достаёт дробовик с антиаурной дробью* –Прости, Ален | [41285360] Я сейчас дошёл, я дошёл с главами про Ноэда (Леон, доставай шутки про инцест). Поэтому, собственно, два вопроса у меня встали: спойлер (показать) 1) когда Адам  | [41250141] https://drebedenboi.fandom.com/ru/wiki/Роскомнадзор-тян Леон... Ты знаешь что делать"
Хейль,75,18,6,False,1.0,2026-02-27,2026-06-04,"[41401120] Единственное, что возможно - укрепление от проявление деда (Хейли) и подобных. И, отвечая на твой вопрос в целом, скорее всего подобного не существует. Ибо поль | [41256555] Колонка ""Смешные картинки"", товарищи! Продолжение одного из моих мемов (показать) Книги авторства Хейли, ч. 1 (показать) Книги авторства Хейли, ч. 2 (показать)  | [41231813] Колонка ""Анекдоты"", товарищи: 1) ""Реально и гипотетически"" версии ""Довитальский Арквилль"" Хейли спрашивает у Юлиуса: - Брат, что такое ""реально"" и что такое ""ги"
Озпин,73,15,0,False,1.0,2026-02-27,2026-06-07,"[41493373] Даже у Озпина потемнело в глазах от этого. Особенно в оригинале. | [41448244] Кроу на волне с Озлюминати Или Кроу на волне в баре после очередного задания от Озпина | [41444265] Шизотеория Друзья мои, перед сном после очередного прочтения СМ, мне в голову пришла мысль: Было бы иронично, если бы к концу произведения наш Жон сошёлся бы с "
Вейл,72,17,4,False,0.97,2026-02-27,2026-06-06,"[41463386] не смешно Думают ли овцы о Нюрнбергском процессе? Военные преступления фавнов-баранов: записи трибунала Вейла, том 10 | [41400356] книжный магазин Таксона в Вейле, фото чб | [41389636] Совет Вейла ведёт борьбу за права граждан-фавнов ну они пытаются"
Кардин,68,14,1,True,0.99,2026-03-10,2026-06-10,"[41282412] Ну-с, писал с другом текст для ивентов. И как-то разогнались... В общем, первоапрельский омак: P.S. Не судите строго, в первый раз писали. Нору писать было весе | [41115480] По сути в каноне из команд Бикона показаны команда Жона, Руби, Вельвет и Кардина (ныне сокомандники Ахерона), а также Блейк. Из преподавателей — Озпин, Глиинда, | [40978921] * Ко-второму * Раз товарищ Леон не пошутил, то я пошучу: Кардин под Вельвет)"
Салем,66,18,3,False,0.97,2026-02-27,2026-06-11,"[41580755] картинки (показать) Пляжный эпизод приближается! Как Морген Арк видел Салем (я с ним полностью солидарен в этом вопросе): . | [41444265] Шизотеория Друзья мои, перед сном после очередного прочтения СМ, мне в голову пришла мысль: Было бы иронично, если бы к концу произведения наш Жон сошёлся бы с  | [41067819] Почти 8к комментариев. Хотел приберечь до круглого числа, но, пожалуй, могу добить. Представляю Вам, товарищи, часть фокусов для Арквилля. К сожалению, получало"
Нора,66,14,0,False,1.0,2026-02-27,2026-06-02,"[41346754] А ведь у каждого здорового мужчины стояк по утрам. И как тогда команда Жона встает по утрам? Нора первой идет в душ, чтоб парни убрали свои стволы? | [41282847] Моя любимая сцена. Вокруг нее будеим пытаться что-нибудь написать Нора тем временем с серьёзным видом рассматривала тарелку. — У них картофельное пюре другое. О | [41282412] Ну-с, писал с другом текст для ивентов. И как-то разогнались... В общем, первоапрельский омак: P.S. Не судите строго, в первый раз писали. Нору писать было весе"
Гримм,66,12,6,True,0.53,2026-03-01,2026-06-07,"[41291365] Переворот в Атласе и приход к власти фанатиков церкви Братьев, которыми из-за кулис управляют культисты. Ненависть к фавнам выходит на новый уровень и происходя | [41282412] Ну-с, писал с другом текст для ивентов. И как-то разогнались... В общем, первоапрельский омак: P.S. Не судите строго, в первый раз писали. Нору писать было весе | [41177291] Кого боятся Гримм?"
Арка,65,14,0,False,0.94,2026-02-27,2026-06-11,"[41590011] мем (показать) Настроение Вайсс после того, как облила Арка холодной водой: . | [41441077] Тут я вспомнил работу, где Жан попал в Германию в 38-ом и пошел служить в СС. Как говорится, никогда не спрашивайте: 1) Женщину о возрасте 2) Мужчину о зарплате | [41328654] Шизотеория: проявление Арка является гирей для количества ауры Арка. Оно же пассивное, а любое проявление жрет ауру, а это на постоянке, причем жрет оно наверно"
